Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q,Tair_gap,Q_gap,segment_id
-999,-999,-999,17.108224487304994,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.799129740397007,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.889620717366997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.369963582357002,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.28947347005203,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.923636372884005,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.89305775960304,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.379040018717037,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.44015146891303,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,17.163854217529035,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,16.372738138835018,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.57941335042301,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.448935445150028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.05026270548501,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.18832550048802,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.247364298503044,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.863434092204045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.008650716146008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.919119771322016,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.526546732583997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.44716288248702,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.86038869222,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.312042490641034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.711874898275028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.846882120768043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,14.890047963460006,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.205600992839038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,15.334163920085018,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.782173411052042,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.127539571126022,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.361815388997002,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.048197682699026,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.778765614827023,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.762333170573015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.585046386719,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.214568074544047,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.171585337321003,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.601530965169047,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.513772583008006,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.950989023844045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.982849375407,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.415673828125025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.979280090331997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.03993631998702,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.397332763672011,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.639709726969045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.373541768392045,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.947971598307049,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.626685078939031,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.37780405680303,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.69413019816102,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.237255350749024,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.30421346028703,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.908298746745004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.768755849202023,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.709452565511015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.848832702637026,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.538090006510004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.556390380859,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.190007781982047,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.599917348226029,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.4167864481610195,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.369699096679994,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.522856648763025,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.445938364665039,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.19879938761403,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.471677398682004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.970951334635004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.848160044352028,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.997401173908997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.028565979004043,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.657070414225018,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.5532928466799945,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.054312642415027,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,3.67245635986302,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.088253275553029,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.688984171550032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.828403727214038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.048048909505042,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.254630025228039,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.081901804606048,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.93661651611302,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.461815134684002,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,4.265086110433003,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.764281209310013,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
