DateTime,Air Temperature (1.5m)
2020-03-17,12.838723
2020-03-18,9.7553713
2020-03-19,9.335936
2020-03-20,11.037046
2020-03-21,11.847306
2020-03-22,13.0854384
2020-03-23,14.14593
2020-03-24,13.285616
2020-03-25,8.3942506
2020-03-26,10.0357812
2020-03-27,11.029658
2020-03-28,8.5664488
2020-03-29,7.452665
2020-03-30,9.9005836
2020-03-31,11.15389
2020-04-01,10.1824333
2020-04-02,10.58699
2020-04-03,9.4413615
2020-04-04,9.5257507
2020-04-05,10.743364
2020-04-06,10.7123104
2020-04-07,9.478262
2020-04-08,11.5117146
2020-04-09,11.8481169
2020-04-10,7.870921
2020-04-11,5.9191896
2020-04-12,8.893631
2020-04-13,11.80893
2020-04-14,11.0026147
2020-04-15,5.8739945
2020-04-16,7.3159537
2020-04-17,9.0345307
2020-04-18,12.328568
2020-04-19,12.054265
2020-04-20,11.0479
2020-04-21,10.60715
2020-04-22,8.715592
2020-04-23,7.358359
2020-04-24,9.2937731
2020-04-25,9.74169
2020-04-26,8.7899737
2020-04-27,11.050792
2020-04-28,11.1353845
2020-04-29,10.201652
2020-04-30,8.677785
2020-05-01,9.8710809
2020-05-02,9.5391711
2020-05-03,10.8000469
2020-05-04,16.029528
2020-05-05,10.306196
2020-05-06,6.567821
2020-05-07,3.8491351
2020-05-08,6.74810844
2020-05-09,9.1604913
2020-05-10,7.87674738
2020-05-11,7.9805993
2020-05-12,8.531851
2020-05-13,7.786767
2020-05-14,8.9488052
2020-05-15,8.641905
2020-05-16,7.346016
2020-05-17,7.8570222
2020-05-18,7.740705
2020-05-19,5.915003
2020-05-20,4.0854364
2020-05-21,1.4517336
2020-05-22,1.671642
2020-05-23,1.2080517
2020-05-24,2.7201448
2020-05-25,8.08687
2020-05-26,12.658699
2020-05-27,6.980966
2020-05-28,3.3260016
2020-05-29,3.1909783
2020-05-30,5.4134966
2020-05-31,8.204131
2020-06-01,8.659768
2020-06-02,11.513294
2020-06-03,9.0588569
2020-06-04,6.451403
2020-06-05,10.7497986
2020-06-06,7.4664536
2020-06-07,5.963222
2020-06-08,5.792132
2020-06-09,6.326495
2020-06-10,5.684264
2020-06-11,4.1831784
2020-06-12,6.676777
2020-06-13,7.44654038
2020-06-14,4.0188256
2020-06-15,2.9107523
2020-06-16,6.5802929
2020-06-17,7.0149125
2020-06-18,8.481117
2020-06-19,10.42208
2020-06-20,11.0113
2020-06-21,10.0653136
2020-06-22,8.505551
2020-06-23,8.214126
2020-06-24,7.1965248
2020-06-25,6.969574
2020-06-26,8.7520949
2020-06-27,9.807734
2020-06-28,11.820992
2020-06-29,9.8888852
2020-06-30,6.222161
2020-07-01,2.8684674
2020-07-02,0.8275696
2020-07-03,0.8422487
2020-07-04,1.5687994
2020-07-05,2.8469778
2020-07-06,5.9541199
2020-07-07,8.054146
2020-07-08,6.120467
2020-07-09,3.297511
2020-07-10,1.234016
2020-07-11,4.289635
2020-07-12,4.809655
2020-07-13,6.1506034
2020-07-14,8.088211
2020-07-15,7.522924
2020-07-16,5.123982
2020-07-17,5.4812236
2020-07-18,7.983714
2020-07-19,10.5273205
2020-07-20,9.6260748
2020-07-21,11.0036908
2020-07-22,9.649007
2020-07-23,4.999797
2020-07-24,6.3044995
2020-07-25,4.382042
